id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
101950,102281,197461,7928,,11Del Del,,20.724315,15.074581,68.4463,-19.61,-41.74,9,4.43,0.253,A7IIIp d Del,0.302,43.241717,-49.981753,17.801271,3.25E-06,-1.37E-05,-1.098E-05,5.42561299212033,0.263101067339237,-9.50719627569444E-08,-2.0236123E-07,Del,11,Del,1,101950,,68.9922009844048,Del,4.456,4.386
102293,102624,198026,7951,,3    Aqr,,20.795621,-5.027701,179.5332,-3.3,-40.24,-22,4.43,-1.841,M3IIIvar,1.639,119.516375,-133.042786,-15.733799,-1.917E-05,1.704E-05,-3.292E-05,5.44428086801005,-0.087749933028969,-1.59988514583333E-08,-1.95089025E-07,,3,Aqr,1,102293,,474.678979482922,EN,4.458,4.378
1169,1170,1038,48,,7    Cet,,0.244005,-18.932866,137.1742,-27.15,-73.78,-23,4.44,-1.246,M1III,1.64,129.488149,8.283,-44.507481,-3.694E-05,-2.045E-05,-3.878E-05,0.0638802752645,-0.330440840835914,-1.31626914270833E-07,-3.57695533E-07,,7,Cet,1,1169,,274.410041825657,AE,4.484,4.384
3778,3786,4656,224,,63Del Psc,,0.811373,7.585079,95.4198,83.14,-50.48,32,4.44,-0.458,K5III,1.5,92.459279,19.940749,12.595285,2.662E-05,4.508E-05,-1.883E-05,0.212417029898323,0.132384604577981,4.03074094013889E-07,-2.44733945E-07,Del,63,Psc,1,3778,,132.800588624373,,,
19871,19921,27442,1355,Gl 167.3,Eps Ret,,4.274738,-59.302156,18.2382,-47.99,-167.81,29.3,4.44,3.135,K2IV,1.078,4.063966,8.377204,-15.682734,4.93E-06,4.3E-07,-3.334E-05,1.11912369620675,-1.03501787870107,-2.32662085298611E-07,-8.13565837E-07,Eps,,Ret,1,19871,,4.85288500162121,,,
21717,21770,29875,1502,Gl 174.1A,Alp Cae,,4.676039,-41.863752,20.1654,-141.18,-74.95,0.8,4.44,2.917,F2V,0.342,5.101798,14.124725,-13.457617,1.153E-05,-8.71E-06,-6E-06,1.2241841699754,-0.730660317468714,-6.84459954208333E-07,-3.63367853E-07,Alp,,Cae,1,21717,Gl 174.1,5.93198439664973,,,
29987,30060,43378,2238,,2    Lyn,,6.327052,59.010964,48.0077,-3.51,24.43,-4,4.44,1.033,A2Vs,0.032,-2.113811,24.62735,41.155331,1.41E-06,-6.88E-06,-5.8E-07,1.6564184481016,1.02993562434984,-1.70169601875E-08,1.18439982E-07,,2,Lyn,1,29987,,33.6356635748362,UZ,4.451,4.431
36689,36795,60532,2906,Gl 279,,,7.567551,-22.296067,25.2972,-40.38,46.84,61,4.44,2.425,F6V,0.521,-9.338236,21.462897,-9.597779,-1.936E-05,5.69E-05,-1.835E-05,1.98118012603206,-0.389139776991139,-1.95767764208333E-07,2.27086727E-07,,,Pup,1,36689,,9.33254300796991,,,
39978,40091,68553,3225,,,,8.189304,-39.618545,520.8333,-8.91,3.1,16,4.44,-4.143,K4III,1.59,-217.566963,337.08653,-332.12161,9.36E-06,2.698E-05,-4.41E-06,2.14395481702713,-0.69147406249429,-4.31968989375E-08,1.5029224E-08,,,Pup,1,39978,,3955.48735055562,NS,4.462,4.422
40591,40706,70060,3270,GJ 1109,,,8.309258,-36.659288,28.6287,-111.27,100.62,5.1,4.44,2.156,A4m...,0.222,-13.053888,18.895299,-17.092944,5.59E-06,1.908E-05,8.09E-06,2.1753586147934,-0.639825280579156,-5.39452182354167E-07,4.87819525E-07,,,Pup,1,40591,,11.9563879998812,,,
70895,71121,127381,5425,,Sig Lup,,14.543629,-50.457157,176.3668,-29.55,-14.85,-2,4.44,-1.792,B2III,-0.177,-88.295016,-69.367614,-136.005022,-6.89E-06,2.672E-05,-6.51E-06,3.80751329545363,-0.880643526954771,-1.43262442604167E-07,-7.1994831E-08,Sig,,Lup,1,70895,,453.732616937942,Sig,4.449,4.429
95473,95771,183439,7405,,6Alp Vul,,19.478427,24.664905,91.1577,-126.45,-106.99,-86,4.44,-0.359,M0 comp,1.502,31.268751,-76.712143,38.040745,-7.447E-05,3.465E-05,-7.967E-05,5.09944025983963,0.430483797356135,-6.130468990625E-07,-5.18702156E-07,Alp,6,Vul,1,95473,,121.22717925365,,,
7869,7884,10380,489,,106Nu  Psc,,1.690526,5.487613,111.3586,-22.73,3.61,0.4,4.45,-0.784,K3III,1.347,100.168039,47.473101,10.649285,5.45E-06,-1.099E-05,1.98E-06,0.442578719766191,0.095776918140514,-1.10198149590278E-07,1.7501773E-08,Nu,106,Psc,1,7869,,179.308137708044,,,
13114,13147,17652,841,,Bet For,,2.818169,-32.405898,52.9381,86.96,158.96,17,4.45,0.831,G8III,0.981,33.071703,30.064017,-28.370335,1.203E-05,4.109E-05,2.512E-05,0.737795045947295,-0.565589610726522,4.21593976611111E-07,7.70659826E-07,Bet,,For,1,13114,,40.5135220229264,,,
24187,24244,33802,1696,,3Iot Lep,,5.204973,-11.869219,71.0732,24.95,-31.22,25,4.45,0.191,B8V,-0.099,14.372474,68.052698,-14.618273,-3.7E-06,2.409E-05,-1.579E-05,1.36265867840887,-0.207156946389771,1.20961013298611E-07,-1.51358831E-07,Iot,3,Lep,1,24187,,73.0465989520411,,,
29353,29426,42560,2199,,70Xi  Ori,,6.198999,14.208765,186.2197,-1.59,-20.23,24,4.45,-1.9,B3IV,-0.18,-9.400594,180.27811,45.708737,-4E-08,2.831E-05,-1.168E-05,1.6228940995503,0.247989732819189,-7.70853752083333E-09,-9.8077807E-08,Xi,70,Ori,1,29353,,501.187233627272,,,
42283,42402,73471,3418,,5Sig Hya,,8.645955,3.341435,114.2857,-19.03,-16.29,25,4.45,-0.84,K2III,1.216,-72.861703,87.795627,6.661268,-8.52E-06,2.678E-05,-7.52E-06,2.26350569872462,0.058319044958705,-9.22600434097222E-08,-7.8976148E-08,Sig,5,Hya,1,42283,,188.799134909629,,,
44064,44191,77258,3591,,,,9.001505,-41.253605,64.5161,-40.67,54.59,-7,4.45,0.402,Fp,0.646,-34.310322,34.283342,-42.541431,4.83E-06,1.315E-05,1.756E-05,2.35658837772992,-0.720011238226855,-1.97173723881944E-07,2.64659788E-07,,,Vel,1,44064,,60.1450651977548,,,
51700,51849,91942,4159,,,,10.59314,-57.557636,361.0108,-15.43,-0.16,10,4.45,-3.338,K3/K4II,1.604,-180.676542,69.727876,-304.668464,4.82E-06,2.708E-05,-8.78E-06,2.77327767844093,-1.00457025478738,-7.48067509097222E-08,-7.75701E-10,,,Car,1,51700,,1884.51674172155,,,
52481,52633,93845,4234,,Del2Cha,,10.763087,-80.540188,107.5269,-37.33,6.19,23,4.45,-0.708,B2.5IV,-0.188,-16.754133,5.623468,-106.064858,-4.9E-07,2.069E-05,-2.267E-05,2.81776963941671,-1.4056914554128,-1.80980946951389E-07,3.0009966E-08,Del-2,,Cha,1,52481,,167.186035720447,,,
54921,55084,98058,4368,,74Phi Leo,,11.277695,-3.651601,56.4653,-108.15,-35.76,-3,4.45,0.691,A7IVn,0.21,-55.346129,10.592461,-3.596235,9.18E-06,2.838E-05,-9.57E-06,2.95249356814754,-0.063732460982005,-5.24325995520834E-07,-1.73369372E-07,Phi,74,Leo,1,54921,,46.0892880980895,,,
80729,80975,148898,6153,,9Ome Oph,,16.535611,-21.46639,51.7063,20.21,36.23,3,4.45,0.882,Ap,0.13,-17.999307,-44.626441,-18.922208,2.39E-06,-7.63E-06,7.33E-06,4.32901274133239,-0.374659179080035,9.79808448402778E-08,1.75647996E-07,Ome,9,Oph,1,80729,,38.6544946598284,Ome,4.465,4.445
94352,94648,181984,7352,,60Tau Dra,,19.259229,73.355468,44.8833,-116.6,104.25,-30,4.45,1.19,K3III,1.257,4.161675,-12.163752,43.002444,-3.388E-05,2.066E-05,-2.29E-05,5.04205444868842,1.28029443840978,-5.65292751527778E-07,5.05418261E-07,Tau,60,Dra,1,94352,,29.107171180666,,,
95927,96229,184406,7429,Wo 9661,38Mu  Aql,,19.568153,7.378941,32.9924,212.76,-155.39,-25.1,4.45,1.858,K3III,1.176,13.058329,-30.00016,4.237222,2.231E-05,3.4E-05,-2.794E-05,5.12293054353388,0.128786824170193,1.03148958675E-06,-7.53351978E-07,Mu,38,Aql,1,95927,,15.7325818544647,,,
11542,11569,15089,707,,Iot Cas,,2.484437,67.402474,40.7332,-27.92,37.06,1,4.46,1.41,A5p Sr,0.153,12.456271,9.477611,37.605991,-1.73E-06,-8.24E-06,3.76E-06,0.650423988600178,1.17639509212956,-1.35359979611111E-07,1.7967195E-07,Iot,,Cas,1,11542,,23.7684028662488,Iot,4.477,4.447
18210,18255,24554,1211,,32    Eri,,3.904862,-2.95473,95.9693,26.42,1.49,18,4.46,-0.451,G8III,0.672,49.973192,81.782305,-4.946929,-8.8E-07,2.213E-05,-2.6E-07,1.02229039276803,-0.051569763792424,1.28087774402778E-07,7.223723E-09,,32,Eri,1,18210,,131.947145719512,,,
